filename,iou0,iou1,iou2,miou
Sphere_10_ascii_roi.ply,0.0,0.0,0.27364560479592487,0.09121520159864162
Sphere_11_ascii_roi.ply,0.0,0.0,0.20473619798957782,0.06824539932985928
Sphere_12_ascii_roi.ply,0.0,0.0,0.21446839860078368,0.07148946620026123
Sphere_13_ascii_roi.ply,0.0,0.0,0.013852863843092667,0.004617621281030889
Sphere_14_ascii_roi.ply,0.0,0.0,0.006073784296690336,0.0020245947655634453
Sphere_15_ascii_roi.ply,0.0,0.0,0.007715208340284807,0.0025717361134282688
Sphere_16_ascii_roi.ply,0.0,0.0,0.010068322489903418,0.0033561074966344724
Sphere_1_ascii_roi.ply,0.0,0.0,0.004650125594410601,0.0015500418648035337
Sphere_2_ascii_roi.ply,0.0,0.0,0.2853225090903385,0.09510750303011284
Sphere_3_ascii_roi.ply,0.0,0.0,0.33491160823281774,0.11163720274427258
Sphere_4_ascii_roi.ply,0.0,0.0,0.2780143549482314,0.09267145164941047
Sphere_5_ascii_roi.ply,0.0,0.0,0.25467493068222696,0.08489164356074232
Sphere_6_ascii_roi.ply,0.0,0.0,0.25062141554293893,0.0835404718476463
Sphere_7_ascii_roi.ply,0.0,0.0,0.2958563382677608,0.09861877942258694
Sphere_8_ascii_roi.ply,0.0,0.0,0.06973752410049096,0.02324584136683032
Sphere_9_ascii_roi.ply,0.0,0.0,0.3109276879273638,0.1036425626424546
